DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
3160108;1;1;1; ; ; ; ;03;151,898291079147
3160108;1;2;1; ; ; ; ;03;151,898291079147
3160108;1;3;1; ; ; ; ;03;151,898291079147
3160108;1;4;1; ; ; ; ;03;151,898291079147
3160109;1;1;2;1;2;41;1;03;136,328750953007
3160109;1;2;2;1;2;41;1;03;136,328750953007
3160109;1;3;2;1;2;41;2;03;136,328750953007
3160109;1;4;2;1;2;41;1;03;136,328750953007
3160110;1;1;1; ; ; ; ;03;138,401297631996
3160110;1;2;1; ; ; ; ;03;138,401297631996
3160110;1;4;1; ; ; ; ;03;138,401297631996
3160111;1;1;2;6; ; ; ;03;212,172654386037
3160111;1;2;2;6; ; ; ;03;212,172654386037
3160111;1;3;1; ; ; ; ;03;212,172654386037
3160112;1;1;2;5;2;47;1;03;119,409009753845
3160112;1;2;2;5;2;47;1;03;119,409009753845
3160113;1;1;1; ; ; ; ;03;193,681101005736
3160113;1;2;1; ; ; ; ;03;193,681101005736
3160113;1;3;1; ; ; ; ;03;193,681101005736
3160113;1;5;2;1;2;08;1;03;193,681101005736
3160114;1;1;2;5;2;76;1;03;145,678530657093
3160114;1;2;2;5;2;76;1;03;145,678530657093
3160114;1;3;2;5;2;76;1;03;145,678530657093
3160115;1;1;2;1;2;50;1;03;206,855155541771
3160115;1;2;2;6; ; ; ;03;206,855155541771
3160115;1;3;1; ; ; ; ;03;206,855155541771
3160116;1;1;1; ; ; ; ;03;135,694267840936
3160116;1;2;2;6; ; ; ;03;135,694267840936
3160117;1;1;1; ; ; ; ;03;143,610139873364
3160117;1;2;1; ; ; ; ;03;143,610139873364
3160117;1;3;1; ; ; ; ;03;143,610139873364
3160118;1;1;1; ; ; ; ;03;131,661023756192
3160118;1;2;1; ; ; ; ;03;131,661023756192
3160119;1;1;1; ; ; ; ;03;111,990364595222
3160119;1;2;1; ; ; ; ;03;111,990364595222
3160119;1;3;1; ; ; ; ;03;111,990364595222
3160119;1;4;1; ; ; ; ;03;111,990364595222
3160119;1;5;1; ; ; ; ;03;111,990364595222
3160120;1;1;1; ; ; ; ;03;113,837269547925
3160120;1;2;1; ; ; ; ;03;113,837269547925
3160120;1;3;1; ; ; ; ;03;113,837269547925
3160120;1;4;1; ; ; ; ;03;113,837269547925
3160121;1;1;1; ; ; ; ;03;130,798983301881
3160121;1;2;1; ; ; ; ;03;130,798983301881
3160121;1;3;1; ; ; ; ;03;130,798983301881
3160122;1;1;2;6; ; ; ;03;187,891568025973
3160122;1;2;2;6; ; ; ;03;187,891568025973
3160122;1;3;2;2;2;76;1;03;187,891568025973
3160122;1;5;1; ; ; ; ;03;187,891568025973
3160123;1;1;2;6; ; ; ;03;125,057130600082
3160123;1;2;1; ; ; ; ;03;125,057130600082
3160123;1;3;1; ; ; ; ;03;125,057130600082
3160123;1;4;2;3;2;15;1;03;125,057130600082
3160124;1;1;1; ; ; ; ;03;177,875489049586
3160124;1;2;1; ; ; ; ;03;177,875489049586
3160124;1;3;1; ; ; ; ;03;177,875489049586
3160125;1;1;2;1;2;11;1;03;206,855155541771
3160125;1;2;2;1;2;11;1;03;206,855155541771
3160125;1;3;2;1;2;11;1;03;206,855155541771
3160126;1;1;1; ; ; ; ;03;145,678530657093
3160126;1;2;1; ; ; ; ;03;145,678530657093
3160126;1;3;1; ; ; ; ;03;145,678530657093
3160127;1;1;1; ; ; ; ;03;171,274711691354
3160127;1;2;1; ; ; ; ;03;171,274711691354
3160128;1;1;1; ; ; ; ;03;162,995941694374
3160128;1;2;2;5;2;81;1;03;162,995941694374
3160129;1;1;2;6; ; ; ;03;198,576385544792
3160129;1;2;1; ; ; ; ;03;198,576385544792
3160129;1;3;1; ; ; ; ;03;198,576385544792
3160129;1;4;1; ; ; ; ;03;198,576385544792
3160130;1;1;1; ; ; ; ;03;157,569306679161
3160130;1;2;2;6; ; ; ;03;157,569306679161
3160131;1;1;1; ; ; ; ;03;163,672397361239
3160131;1;2;1; ; ; ; ;03;163,672397361239
3160132;1;1;2;6; ; ; ;03;152,282423813202
3160133;1;1;1; ; ; ; ;03;201,517476599969
3160133;1;2;1; ; ; ; ;03;201,517476599969
3160133;1;3;1; ; ; ; ;03;201,517476599969
3160134;1;1;1; ; ; ; ;03;169,320518207476
3160134;1;2;1; ; ; ; ;03;169,320518207476
3160134;1;3;1; ; ; ; ;03;169,320518207476
3160134;1;4;1; ; ; ; ;03;169,320518207476
3160135;1;1;2;6; ; ; ;03;125,903698762826
3160135;1;2;1; ; ; ; ;03;125,903698762826
3160135;1;3;1; ; ; ; ;03;125,903698762826
3160135;1;4;1; ; ; ; ;03;125,903698762826
3160136;1;1;1; ; ; ; ;03;146,237673226229
3160136;1;2;1; ; ; ; ;03;146,237673226229
3160136;1;3;1; ; ; ; ;03;146,237673226229
3160137;1;1;1; ; ; ; ;03;157,569306679161
3160137;1;2;2;6; ; ; ;03;157,569306679161
3160138;1;1;1; ; ; ; ;03;119,409009753845
3160138;1;2;1; ; ; ; ;03;119,409009753845
3160139;1;1;2;6; ; ; ;03;169,821320681509
3160139;1;2;1; ; ; ; ;03;169,821320681509
3160140;1;1;2;6; ; ; ;03;124,099226574555
3160140;1;2;2;6; ; ; ;03;124,099226574555
3160141;1;1;2;6; ; ; ;03;129,102423765492
3160142;1;1;2;6; ; ; ;03;115,381850186174
3160142;1;2;2;6; ; ; ;03;115,381850186174
3160143;1;1;2;6; ; ; ;03;101,19628724939
3160143;1;2;1; ; ; ; ;03;101,19628724939
3160144;1;1;1; ; ; ; ;03;136,393987029387
3160144;1;2;1; ; ; ; ;03;136,393987029387
3160145;1;1;2;6; ; ; ;03;144,800605472711
3160145;1;2;2;6; ; ; ;03;144,800605472711
3160146;1;1;2;6; ; ; ;03;113,86923141574
3160147;1;1;2;6; ; ; ;03;188,840156604894
3160147;1;2;1; ; ; ; ;03;188,840156604894
3160148;1;1;1; ; ; ; ;03;115,381850186174
3160148;1;2;1; ; ; ; ;03;115,381850186174
3160149;1;1;1; ; ; ; ;03;104,648898673184
3160149;1;2;1; ; ; ; ;03;104,648898673184
3160149;1;3;2;6; ; ; ;03;104,648898673184
3160150;1;1;2;6; ; ; ;03;147,124753913182
3160150;1;2;1; ; ; ; ;03;147,124753913182
3160150;1;4;2;6; ; ; ;03;147,124753913182
3160151;1;1;1; ; ; ; ;03;111,164714634556
3160151;1;2;1; ; ; ; ;03;111,164714634556
3160151;1;3;1; ; ; ; ;03;111,164714634556
3160152;1;1;1; ; ; ; ;03;142,12780620524
3160152;1;2;2;6; ; ; ;03;142,12780620524
3160152;1;3;1; ; ; ; ;03;142,12780620524
3160153;1;1;1; ; ; ; ;03;139,983411447162
3160153;1;2;1; ; ; ; ;03;139,983411447162
3160153;1;3;1; ; ; ; ;03;139,983411447162
3160153;1;4;1; ; ; ; ;03;139,983411447162
3160153;1;5;2;6; ; ; ;03;139,983411447162
3160154;1;1;2;6; ; ; ;03;113,86923141574
3160155;1;1;2;6; ; ; ;03;142,12780620524
3160155;1;2;2;6; ; ; ;03;142,12780620524
3160156;1;1;1; ; ; ; ;03;1031,1848758809
3160156;1;2;1; ; ; ; ;03;1031,1848758809
3160157;1;1;2;6; ; ; ;03;697,495300754132
3160157;1;2;2;6; ; ; ;03;697,495300754132
3160158;1;1;2;6; ; ; ;03;680,866280360185
3160158;1;2;2;6; ; ; ;03;680,866280360185
3160158;1;3;1; ; ; ; ;03;680,866280360185
3160159;1;1;2;6; ; ; ;03;711,40606720172
3160159;1;2;2;1;1; ; ;03;711,40606720172
3160160;1;1;2;6; ; ; ;03;845,784910304688
3160161;1;1;1; ; ; ; ;03;1127,56860303254
3160162;1;1;2;6; ; ; ;03;1003,98252090918
3160162;1;2;1; ; ; ; ;03;1003,98252090918
3160163;1;1;1; ; ; ; ;03;1732,95672588278
3160163;1;2;1; ; ; ; ;03;1732,95672588278
3160163;1;3;2;6; ; ; ;03;1732,95672588278
3160164;1;1;1; ; ; ; ;03;718,861396311522
3160164;1;2;2;6; ; ; ;03;718,861396311522
3160164;1;3;1; ; ; ; ;03;718,861396311522
3160164;1;4;1; ; ; ; ;03;718,861396311522
3160165;1;1;1; ; ; ; ;03;1691,56982060938
3160166;1;1;2;2;2;19;1;03;876,112580141236
3160166;1;2;2;2;2;19;1;03;876,112580141236
3160167;1;1;2;6; ; ; ;03;1642,9768875919
3160167;1;2;1; ; ; ; ;03;1642,9768875919
3160168;1;1;1; ; ; ; ;03;2465,6145055121
3160168;1;2;2;6; ; ; ;03;2465,6145055121
3160168;1;3;1; ; ; ; ;03;2465,6145055121
3160168;1;4;1; ; ; ; ;03;2465,6145055121
3160169;1;1;2;6; ; ; ;03;1049,91886682939
3160169;1;2;1; ; ; ; ;03;1049,91886682939
