DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
3139233;1;1;1; ; ; ; ;02;177,778786335728
3139233;1;2;1; ; ; ; ;02;177,778786335728
3139233;1;3;1; ; ; ; ;02;177,778786335728
3139233;1;5;2;1;2;17;1;02;177,778786335728
3139234;1;1;2;6; ; ; ;02;152,199713670055
3139234;1;2;2;6; ; ; ;02;152,199713670055
3139234;1;3;2;1;1; ; ;02;152,199713670055
3139234;1;4;1; ; ; ; ;02;152,199713670055
3139235;1;1;1; ; ; ; ;02;181,960996440121
3139235;1;2;1; ; ; ; ;02;181,960996440121
3139235;1;3;2;3;2;66;1;02;181,960996440121
3139235;1;4;1; ; ; ; ;02;181,960996440121
3139236;1;1;2;6; ; ; ;02;171,254917708208
3139236;1;2;1; ; ; ; ;02;171,254917708208
3139236;1;3;1; ; ; ; ;02;171,254917708208
3139237;1;1;2;5;2;17;2;02;162,4983185169
3139237;1;2;1; ; ; ; ;02;162,4983185169
3139237;1;3;1; ; ; ; ;02;162,4983185169
3139237;1;4;1; ; ; ; ;02;162,4983185169
3139238;1;1;2;1;2;76;1;02;158,061606686448
3139239;1;1;1; ; ; ; ;02;143,752867320429
3139239;1;2;1; ; ; ; ;02;143,752867320429
3139240;1;1;1; ; ; ; ;02;216,131412959364
3139240;1;2;1; ; ; ; ;02;216,131412959364
3139240;1;3;1; ; ; ; ;02;216,131412959364
3139241;1;1;2;6; ; ; ;02;264,167830330635
3139241;1;2;1; ; ; ; ;02;264,167830330635
3139241;1;3;1; ; ; ; ;02;264,167830330635
3139241;1;4;1; ; ; ; ;02;264,167830330635
3139241;1;5;1; ; ; ; ;02;264,167830330635
3139241;2;1;1; ; ; ; ;02;264,167830330635
3139241;2;3;1; ; ; ; ;02;264,167830330635
3139242;1;1;1; ; ; ; ;02;165,258435374743
3139242;1;2;2;6; ; ; ;02;165,258435374743
3139244;1;1;1; ; ; ; ;02;195,850763222137
3139245;1;1;1; ; ; ; ;02;191,801559896591
3139245;1;2;2;6; ; ; ;02;191,801559896591
3139245;1;3;2;6; ; ; ;02;191,801559896591
3139246;1;1;2;6; ; ; ;02;173,475081284123
3139246;1;2;2;6; ; ; ;02;173,475081284123
3139246;1;3;1; ; ; ; ;02;173,475081284123
